[2021-02-20 21:08:53,902] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-20 21:08:54,330] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-20 21:08:56,751] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-20 21:08:56,755] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-20 21:08:56,758] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-20 21:08:56,758] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2021-02-20 21:09:51,579] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-20 21:09:52,379] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-20 21:09:54,657] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-20 21:09:54,662] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-20 21:09:54,666] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-20 21:09:54,667] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2021-02-20 21:11:18,350] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-20 21:11:18,817] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-20 21:11:21,176] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-20 21:11:21,181] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-20 21:11:21,185] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-20 21:11:21,185] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2021-02-20 21:13:36,047] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-20 21:13:36,401] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-20 21:13:40,389] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-20 21:13:40,392] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-20 21:13:40,392] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-20 21:13:40,392] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2021-02-20 21:15:28,357] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-20 21:15:28,476] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-20 21:18:53,146] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-20 21:18:53,147] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-20 21:18:53,149] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-20 21:18:53,149] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2021-02-20 21:19:22,782] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2021-02-20 21:19:22,896] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2021-02-20 21:21:14,948] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2021-02-20 21:21:14,950] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2021-02-20 21:21:14,952] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2021-02-20 21:21:14,952] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
